Things That SHOULDN'T Be Sold On Amazon,"52,885,127 views","752,837 likes","39,850 dislikes",https://www.youtube.com/watch?v=P4qWhSZ7_WA
Spending 24 Hours Straight Under Water Challenge,"66,331,553 views","1,641,059 likes","82,637 dislikes",https://www.youtube.com/watch?v=6_im_hGxGRk
"I Donated $25,000 To Random Kids Streaming Fortnite","44,375,216 views","803,272 likes","16,730 dislikes",https://www.youtube.com/watch?v=qAW6CE7_bFM
Destroying My Friend's Car And Surprising Him With A New One - Slime,"63,514,281 views","1,463,887 likes","32,618 dislikes",https://www.youtube.com/watch?v=nd-bwvNB7YA
I Donated $1000 Every Time She Blinked - Fortnite Streamers,"17,068,797 views","505,979 likes","13,195 dislikes",https://www.youtube.com/watch?v=vbph9F_pRNI
Moving 10 Pounds Using ONLY Sound,"31,997,357 views","866,848 likes","23,276 dislikes",https://www.youtube.com/watch?v=XHb7g6yuGgE
The Real Way Dinosaurs Went Extinct,"17,468,637 views","479,542 likes","7,072 dislikes",https://www.youtube.com/watch?v=mpZWt5pGKZ8
I Built A Working Car Using Only LEGOS,"37,770,461 views","752,340 likes","23,158 dislikes",https://www.youtube.com/watch?v=XE9pUM9MEFA
"I Donated $50,000 To Ninja - Fortnite","74,887,822 views","1,590,311 likes","53,590 dislikes",https://www.youtube.com/watch?v=foLlul8Tl3E
World's Hottest Substance Vs Coldest Substance,"57,933,710 views","932,600 likes","63,201 dislikes",https://www.youtube.com/watch?v=qrIh-ZHN4-E
I Ubered Random People In A Tank,"20,582,429 views","493,720 likes","14,553 dislikes",https://www.youtube.com/watch?v=3iaDrpKdaIc
"I Gave My 6,000,000th Subscriber 6,000,000 ____","12,486,962 views","287,259 likes","16,423 dislikes",https://www.youtube.com/watch?v=-0zoWMSEOGg
"Can 1,000 Fans At Max Speed Push A Car?","15,467,328 views","310,692 likes","16,602 dislikes",https://www.youtube.com/watch?v=WRzIuC2MKOU
Returning Destroyed Rental Cars Prank,"25,441,682 views","376,123 likes","24,156 dislikes",https://www.youtube.com/watch?v=rH1D_3G56DY
I Made Money Grow On Trees,"11,945,600 views","270,219 likes","4,958 dislikes",https://www.youtube.com/watch?v=97Gh93Daio0
Pulling Cars Over Using A Toy Police Car,"17,661,394 views","373,464 likes","9,140 dislikes",https://www.youtube.com/watch?v=ehEuczQUh8E
"We Drove 3,000 Miles For The World's Best Burger","32,558,502 views","717,222 likes","28,306 dislikes",https://www.youtube.com/watch?v=MC5h-ShR-S8
"I Gave $20,000 To People From An Ice Cream Truck","11,041,974 views","265,207 likes","3,809 dislikes",https://www.youtube.com/watch?v=dFr5YQaQQdo
How Many Toy Cars Does It Take To Pull A Real Car?,"29,133,069 views","466,924 likes","48,850 dislikes",https://www.youtube.com/watch?v=d8pJkuSp1iI
Do Water Repellent Shoes Actually Work?,"71,013,122 views","898,572 likes","70,577 dislikes",https://www.youtube.com/watch?v=wbzD04leeLI
I Took Apart My Friends Car And Put It In His Room,"12,201,467 views","220,078 likes","6,649 dislikes",https://www.youtube.com/watch?v=t4OumncEiKo
"I Gave $500,000 To Random People","10,288,957 views","303,704 likes","7,913 dislikes",https://www.youtube.com/watch?v=uBC7805Smsg
How Many Rubber Bands Does It Take To Snap A Safe?,"27,902,673 views","644,436 likes","44,947 dislikes",https://www.youtube.com/watch?v=Ejou8aa5eZk
"I Gave My 5,000,000th Subscriber 5,000,000 ______","8,757,249 views","227,278 likes","7,333 dislikes",https://www.youtube.com/watch?v=dp8IaLrZpGs
$10000 Ice Sculpture Vs Flame,"16,022,749 views","325,015 likes","8,208 dislikes",https://www.youtube.com/watch?v=xBLxMfO3pDw
Walking Up To Random People With 100 StormTroopers,"12,596,390 views","318,391 likes","6,883 dislikes",https://www.youtube.com/watch?v=2Pvt8awds44
"I Tipped Waitresses $20,000","12,762,629 views","300,952 likes","6,654 dislikes",https://www.youtube.com/watch?v=CWK6an4mYL0
"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)","19,691,361 views","464,138 likes","11,405 dislikes",https://www.youtube.com/watch?v=zE3FLbpu9-Q
"Giving My 4,000,000th Subscriber 4,000,000 Cookies","9,787,361 views","240,634 likes","6,041 dislikes",https://www.youtube.com/watch?v=WZ2rYlVxt4g
I Flew Using Only Balloons AND Leaf Blowers,"24,073,107 views","408,669 likes","38,600 dislikes",https://www.youtube.com/watch?v=vETSAZgfDP4
Destroying My Friend's Car And Surprising Him With A New One,"31,374,497 views","487,842 likes","28,294 dislikes",https://www.youtube.com/watch?v=Izmibu7dxcs
"I Donated $10,000 If They Said This Word (Twitch Streamers)","17,943,910 views","478,236 likes","16,175 dislikes",https://www.youtube.com/watch?v=n9BbAfbsyj0
"Can 1,000 Rolls Of Duct Tape Stop A Car??","17,873,189 views","316,131 likes","19,878 dislikes",https://www.youtube.com/watch?v=d7QmQtNwhcU
Winning A Game Of Fortnite In The Middle Of The Ocean,"20,457,881 views","488,996 likes","22,257 dislikes",https://www.youtube.com/watch?v=NZR4WEjpOQg
Trying To Fly Using Only Leaf Blowers,"13,950,240 views","282,262 likes","58,623 dislikes",https://www.youtube.com/watch?v=Fbl3E_XCQfA
"Giving 3,000,000 Pennies To My 3,000,000th Subscriber","8,185,399 views","218,062 likes","7,249 dislikes",https://www.youtube.com/watch?v=Pe3pGsCeYXg
"Donating $10,000 To Fortnite Streamers If They Win","10,781,769 views","260,681 likes","6,048 dislikes",https://www.youtube.com/watch?v=szt8xabJoSo
"I Gave $20,000 To Random Homeless People","26,398,957 views","649,019 likes","11,156 dislikes",https://www.youtube.com/watch?v=op0N7axawJA
"I Dropped $20,000 From A Drone","6,480,925 views","194,882 likes","4,779 dislikes",https://www.youtube.com/watch?v=sg_XFT4K3N4
I Built A Mansion Using Only Cardboard Boxes,"18,248,447 views","374,273 likes","15,816 dislikes",https://www.youtube.com/watch?v=koRKIlRQj4g
"I Donated $30,000 To My Favorite Twitch Streamer (ninja)","34,809,692 views","786,206 likes","30,193 dislikes",https://www.youtube.com/watch?v=yzGmnjDFuZE
Breaking Glass Using Only Megaphones,"35,686,841 views","773,225 likes","47,427 dislikes",https://www.youtube.com/watch?v=XKFKPQHdWRI
Tying My Shoes In Every State (World Record),"14,133,755 views","337,170 likes","11,415 dislikes",https://www.youtube.com/watch?v=yuGEB4ZZdUQ
Walking Into Random Stores With 100 Dinosaurs,"25,787,896 views","710,433 likes","16,547 dislikes",https://www.youtube.com/watch?v=VwWV4JelEzY
I Bought A Car Using Only Pennies,"23,901,200 views","630,602 likes","31,023 dislikes",https://www.youtube.com/watch?v=nLpqZEAFnkE
